X 		 Y 		 Z 
4 		 98 		  0.02138197 
4 		 97 		  0.01407375 
4 		 96 		  0.01328658 
4 		 95 		  0.26648978 
4 		 94 		  0.08974043 
4 		 93 		  0.00961418 
4 		 92 		  0.02257303 
4 		 91 		  0.00520575 
4 		 90 		  0.01032210 
4 		 89 		  0.01829102 
4 		 88 		  0.01190984 
4 		 87 		  0.05334670 
4 		 85 		  0.02433326 
4 		 81 		  0.00243009 
4 		 80 		  0.09454210 
4 		 79 		  0.08344444 
4 		 78 		  0.17828920 
4 		 77 		  0.00200788 
4 		 76 		  0.05197466 
4 		 75 		  0.29012174 
4 		 74 		  0.30521821 
4 		 73 		  0.01293470 
4 		 72 		  0.05137473 
4 		 71 		  0.03151719 
4 		 70 		  0.03020654 
4 		 69 		  0.05454739 
4 		 68 		  0.07695610 
4 		 67 		  0.01144898 
4 		 66 		  0.00109587 
4 		 65 		  0.01604757 
4 		 64 		  0.00099712 
4 		 63 		  0.01991445 
4 		 62 		  0.00244285 
4 		 61 		  0.02221237 
4 		 60 		  0.00368013 
4 		 59 		  0.00744255 
4 		 58 		  0.00623850 
4 		 57 		  0.01630257 
4 		 56 		  0.00089967 
4 		 55 		  0.01034790 
4 		 54 		  0.00663228 
4 		 53 		  0.00815706 
4 		 52 		  0.00968813 
4 		 51 		  0.00621414 
4 		 50 		  0.00939854 
4 		 49 		  0.00958312 
4 		 48 		  0.01779624 
4 		 47 		  0.00162738 
4 		 46 		  0.00235310 
4 		 45 		  0.05712060 
4 		 44 		  0.02331909 
4 		 42 		  0.00035002 
4 		 41 		  0.00286266 
4 		 40 		  0.00103377 
4 		 39 		  0.04469213 
4 		 38 		  0.01465548 
4 		 37 		  0.01385561 
4 		 36 		  0.00665666 
4 		 35 		  0.38862985 
4 		 34 		  0.03865433 
4 		 33 		  0.39782845 
4 		 32 		  0.04507576 
4 		 31 		  0.02577174 
4 		 30 		  0.01837691 
4 		 29 		  0.07081370 
4 		 28 		  0.23912510 
4 		 27 		  0.15546267 
4 		 26 		  0.42415474 
4 		 25 		  0.00021222 
4 		 24 		  0.05372164 
4 		 23 		  0.00877137 
4 		 22 		  0.27965213 
4 		 21 		  0.05826251 
4 		 20 		  0.42885363 
4 		 19 		  0.11180365 
4 		 18 		  0.07690114 
4 		 17 		  0.10583820 
4 		 16 		  0.29623220 
4 		 15 		  0.30994805 
4 		 14 		  0.22855485 
4 		 13 		  0.44893275 
4 		 12 		  0.48449239 
4 		 11 		  0.48974472 
4 		 10 		  0.34298184 
4 		 9 		  0.40004988 
4 		 8 		  0.41582097 
4 		 7 		  0.52421357 
4 		 6 		  0.53952065 
4 		 5 		  0.00021603 
4 		 4 		  0.01903962 
4 		 2 		  0.00011346 
5 		 100 		  0.00662517 
5 		 99 		  0.01061005 
5 		 98 		  0.00042580 
5 		 97 		  0.00504979 
5 		 96 		  0.01118400 
5 		 95 		  0.00211601 
5 		 94 		  0.03021710 
5 		 93 		  0.06599622 
5 		 92 		  0.02310172 
5 		 91 		  0.06876191 
5 		 90 		  0.02117056 
5 		 89 		  0.05943728 
5 		 88 		  0.01034782 
5 		 87 		  0.02381522 
5 		 86 		  0.00205668 
5 		 85 		  0.01850318 
5 		 84 		  0.00374818 
5 		 83 		  0.00375655 
5 		 82 		  0.00312667 
5 		 81 		  0.00714882 
5 		 80 		  0.03043516 
5 		 79 		  0.00986351 
5 		 78 		  0.01149711 
5 		 77 		  0.03913922 
5 		 76 		  0.06440976 
5 		 75 		  0.02451962 
5 		 73 		  0.06576816 
5 		 72 		  0.01289127 
5 		 71 		  0.01688299 
5 		 70 		  0.57600168 
5 		 69 		  0.00653639 
5 		 68 		  0.00551914 
5 		 67 		  0.12407170 
5 		 66 		  0.01993891 
5 		 65 		  0.43796688 
5 		 64 		  0.06005542 
5 		 63 		  0.19769581 
5 		 62 		  0.09052088 
5 		 61 		  0.10429354 
5 		 60 		  0.25162425 
5 		 59 		  0.18287907 
5 		 58 		  0.20617648 
5 		 57 		  0.01850740 
5 		 56 		  0.10659124 
5 		 55 		  0.02728981 
5 		 54 		  0.03869690 
5 		 53 		  0.03264273 
5 		 52 		  0.02859795 
5 		 51 		  0.03802597 
5 		 50 		  0.02971676 
5 		 49 		  0.02516236 
5 		 48 		  0.01598697 
5 		 47 		  0.57549997 
5 		 46 		  0.57450438 
5 		 45 		  0.45073590 
5 		 44 		  0.07738377 
5 		 42 		  0.03581519 
5 		 41 		  0.00015986 
5 		 40 		  0.12396353 
5 		 39 		  0.51144850 
5 		 38 		  0.00938897 
5 		 37 		  0.00596397 
5 		 36 		  0.00198096 
5 		 35 		  0.00073486 
5 		 34 		  0.50783236 
5 		 33 		  0.00556475 
5 		 32 		  0.23161381 
5 		 31 		  0.68944186 
5 		 30 		  0.67437723 
5 		 29 		  0.41749272 
5 		 28 		  0.01274707 
5 		 27 		  0.02914156 
5 		 26 		  0.40477327 
5 		 24 		  0.12315829 
5 		 23 		  0.01346398 
5 		 21 		  0.10673980 
5 		 20 		  0.40115275 
5 		 19 		  0.07664005 
5 		 18 		  0.11084611 
5 		 17 		  0.33414155 
5 		 16 		  0.35573913 
5 		 14 		  0.34760246 
5 		 13 		  0.28529992 
5 		 12 		  0.13526290 
5 		 11 		  0.11847971 
5 		 10 		  0.01885988 
5 		 9 		  0.06386576 
5 		 8 		  0.08588298 
5 		 7 		  0.13819886 
5 		 6 		  0.10167524 
5 		 4 		  0.00070871 
6 		 100 		  0.38594186 
6 		 99 		  0.04923968 
6 		 98 		  0.39711818 
6 		 97 		  0.10240865 
6 		 96 		  0.06153105 
6 		 95 		  0.00029226 
6 		 94 		  0.06629650 
6 		 93 		  0.01931444 
6 		 92 		  0.22676429 
6 		 91 		  0.00082192 
6 		 90 		  0.24706821 
6 		 89 		  0.06781258 
6 		 88 		  0.07633001 
6 		 87 		  0.45073716 
6 		 86 		  0.19901320 
6 		 85 		  0.03248729 
6 		 84 		  0.18081122 
6 		 83 		  0.17979007 
6 		 82 		  0.19902745 
6 		 81 		  0.13803997 
6 		 80 		  0.00921649 
6 		 79 		  0.07851124 
6 		 78 		  0.02228441 
6 		 77 		  0.11427289 
6 		 76 		  0.08234522 
6 		 75 		  0.13921881 
6 		 74 		  0.06382626 
6 		 73 		  0.09714240 
6 		 72 		  0.02911882 
6 		 71 		  0.03173918 
6 		 70 		  0.25433203 
6 		 69 		  0.03645737 
6 		 68 		  0.04323031 
6 		 67 		  0.33875639 
6 		 66 		  0.01159985 
6 		 65 		  0.44454261 
6 		 64 		  0.00201406 
6 		 63 		  0.02478255 
6 		 62 		  0.00833456 
6 		 61 		  0.01715157 
6 		 60 		  0.15263732 
6 		 59 		  0.13111620 
6 		 58 		  0.10931098 
6 		 57 		  0.06937768 
6 		 56 		  0.03212020 
6 		 55 		  0.05125144 
6 		 54 		  0.03629698 
6 		 53 		  0.04185911 
6 		 52 		  0.04874993 
6 		 51 		  0.03096153 
6 		 50 		  0.04773958 
6 		 49 		  0.04362662 
6 		 48 		  0.04912553 
6 		 47 		  0.17931950 
6 		 46 		  0.15648055 
6 		 45 		  0.39338357 
6 		 44 		  0.07570859 
6 		 42 		  0.01015967 
6 		 40 		  0.00040963 
6 		 39 		  0.38612650 
6 		 38 		  0.04281149 
6 		 37 		  0.04058429 
6 		 36 		  0.02090525 
6 		 35 		  0.00314648 
6 		 34 		  0.39024246 
6 		 33 		  0.00012318 
6 		 32 		  0.21156406 
6 		 31 		  0.14742882 
6 		 30 		  0.18062944 
6 		 29 		  0.45076995 
6 		 28 		  0.00143353 
6 		 27 		  0.11498604 
6 		 26 		  0.00140989 
6 		 24 		  0.24509068 
6 		 23 		  0.01647248 
6 		 22 		  0.00017108 
6 		 21 		  0.27657203 
6 		 20 		  0.00157874 
6 		 19 		  0.25143459 
6 		 18 		  0.31856120 
6 		 17 		  0.50699049 
6 		 16 		  0.19173437 
6 		 15 		  0.00034892 
6 		 14 		  0.23398675 
6 		 13 		  0.00115367 
6 		 12 		  0.00215665 
6 		 11 		  0.00255517 
6 		 10 		  0.00076245 
6 		 9 		  0.00169335 
6 		 8 		  0.00208504 
6 		 7 		  0.00286077 
6 		 6 		  0.00427394 
7 		 100 		  0.52151171 
7 		 99 		  0.02259773 
7 		 98 		  0.51181065 
7 		 97 		  0.00244155 
7 		 96 		  0.01590750 
7 		 94 		  0.04685666 
7 		 93 		  0.45494085 
7 		 92 		  0.54844615 
7 		 91 		  0.56118116 
7 		 90 		  0.59629895 
7 		 89 		  0.31413017 
7 		 88 		  0.01046152 
7 		 87 		  0.00247198 
7 		 86 		  0.09091155 
7 		 85 		  0.13195779 
7 		 84 		  0.10614509 
7 		 83 		  0.10570295 
7 		 82 		  0.10649810 
7 		 81 		  0.12415452 
7 		 80 		  0.14895096 
7 		 79 		  0.13142109 
7 		 78 		  0.54794276 
7 		 77 		  0.24513454 
7 		 76 		  0.23981813 
7 		 75 		  0.01652073 
7 		 74 		  0.22281386 
7 		 73 		  0.29667149 
7 		 72 		  0.02061189 
7 		 71 		  0.03165343 
7 		 70 		  0.02377497 
7 		 69 		  0.01941235 
7 		 68 		  0.01967277 
7 		 67 		  0.50193092 
7 		 66 		  0.02372906 
7 		 65 		  0.00436964 
7 		 64 		  0.02884011 
7 		 63 		  0.22618243 
7 		 62 		  0.05379976 
7 		 61 		  0.06472386 
7 		 60 		  0.00737004 
7 		 59 		  0.00752027 
7 		 58 		  0.00198948 
7 		 57 		  0.01777320 
7 		 56 		  0.00015982 
7 		 55 		  0.00814279 
7 		 54 		  0.00208071 
7 		 53 		  0.00420769 
7 		 52 		  0.00708449 
7 		 51 		  0.00106320 
7 		 50 		  0.00651348 
7 		 49 		  0.00607703 
7 		 48 		  0.05927437 
7 		 47 		  0.01766748 
7 		 46 		  0.02126296 
7 		 45 		  0.00695255 
7 		 44 		  0.27321129 
7 		 42 		  0.05119692 
7 		 39 		  0.00848855 
7 		 38 		  0.04181404 
7 		 37 		  0.03532729 
7 		 36 		  0.00362712 
7 		 34 		  0.01233212 
7 		 32 		  0.47632986 
7 		 31 		  0.08910071 
7 		 30 		  0.07075787 
7 		 29 		  0.00510294 
7 		 27 		  0.04704019 
7 		 24 		  0.41561214 
7 		 23 		  0.02524477 
7 		 21 		  0.52733769 
7 		 19 		  0.26355325 
7 		 18 		  0.44952093 
7 		 17 		  0.00335978 
7 		 16 		  0.00831775 
7 		 14 		  0.00659700 
7 		 12 		  0.00019175 
7 		 11 		  0.00024293 
7 		 9 		  0.00010466 
7 		 8 		  0.00011771 
7 		 7 		  0.00025397 
7 		 6 		  0.00041509 
8 		 100 		  0.04919562 
8 		 99 		  0.05334761 
8 		 98 		  0.03637620 
8 		 97 		  0.04492167 
8 		 96 		  0.05535471 
8 		 94 		  0.20292785 
8 		 93 		  0.40257826 
8 		 92 		  0.02788582 
8 		 91 		  0.29630629 
8 		 90 		  0.00356529 
8 		 89 		  0.51190802 
8 		 88 		  0.05503324 
8 		 87 		  0.41479936 
8 		 86 		  0.19858288 
8 		 85 		  0.32159490 
8 		 84 		  0.23665430 
8 		 83 		  0.23369217 
8 		 82 		  0.24333739 
8 		 81 		  0.30545969 
8 		 80 		  0.69135324 
8 		 79 		  0.26079609 
8 		 78 		  0.18845317 
8 		 77 		  0.58084052 
8 		 76 		  0.53323567 
8 		 75 		  0.48919086 
8 		 74 		  0.26193232 
8 		 73 		  0.48685443 
8 		 72 		  0.20000445 
8 		 71 		  0.14855168 
8 		 70 		  0.00425952 
8 		 69 		  0.45610117 
8 		 68 		  0.46880811 
8 		 67 		  0.00389761 
8 		 66 		  0.01056889 
8 		 65 		  0.00032001 
8 		 64 		  0.02185980 
8 		 63 		  0.44799723 
8 		 62 		  0.04446240 
8 		 61 		  0.18991461 
8 		 60 		  0.12686082 
8 		 59 		  0.13320040 
8 		 58 		  0.08990229 
8 		 57 		  0.16291565 
8 		 56 		  0.00016224 
8 		 55 		  0.11853553 
8 		 54 		  0.07582211 
8 		 53 		  0.09265364 
8 		 52 		  0.11128514 
8 		 51 		  0.06596802 
8 		 50 		  0.10781359 
8 		 49 		  0.10456424 
8 		 48 		  0.20346938 
8 		 47 		  0.03768838 
8 		 46 		  0.04444833 
8 		 45 		  0.00221902 
8 		 44 		  0.51035695 
8 		 42 		  0.00012964 
8 		 40 		  0.00030092 
8 		 39 		  0.00552489 
8 		 38 		  0.20281978 
8 		 37 		  0.18169864 
8 		 36 		  0.13353236 
8 		 35 		  0.00156739 
8 		 34 		  0.00842905 
8 		 33 		  0.00139584 
8 		 32 		  0.01100399 
8 		 31 		  0.00187335 
8 		 30 		  0.00607189 
8 		 29 		  0.00170982 
8 		 28 		  0.00046467 
8 		 27 		  0.25560362 
8 		 24 		  0.00035048 
8 		 23 		  0.25195800 
8 		 22 		  0.00717135 
8 		 21 		  0.00347869 
8 		 19 		  0.22007887 
8 		 18 		  0.00709752 
8 		 16 		  0.00086145 
8 		 14 		  0.00060731 
9 		 100 		  0.00010117 
9 		 99 		  0.15626248 
9 		 98 		  0.00939502 
9 		 97 		  0.09834930 
9 		 96 		  0.13684249 
9 		 94 		  0.42365764 
9 		 93 		  0.00144272 
9 		 92 		  0.00788476 
9 		 91 		  0.00200024 
9 		 90 		  0.00300843 
9 		 89 		  0.00656001 
9 		 88 		  0.08275097 
9 		 87 		  0.00982315 
9 		 86 		  0.02025184 
9 		 85 		  0.12612735 
9 		 84 		  0.00350312 
9 		 83 		  0.00421951 
9 		 82 		  0.00237830 
9 		 81 		  0.01163974 
9 		 80 		  0.00658145 
9 		 79 		  0.13623202 
9 		 78 		  0.02714324 
9 		 77 		  0.00893230 
9 		 76 		  0.00608090 
9 		 75 		  0.00398564 
9 		 74 		  0.03337397 
9 		 73 		  0.01542167 
9 		 72 		  0.08916950 
9 		 71 		  0.13692938 
9 		 70 		  0.00161978 
9 		 69 		  0.32083132 
9 		 68 		  0.05295539 
9 		 66 		  0.05812076 
9 		 65 		  0.00049231 
9 		 64 		  0.17958818 
9 		 63 		  0.00532854 
9 		 62 		  0.10137002 
9 		 61 		  0.56624024 
