X 		 Y 		 Z 
15 		 15 		 0.9996 		 % max 
 
1 		 15 		  0.00004959 
1 		 14 		  0.00000011 
1 		 13 		  0.00000516 
1 		 12 		  0.00000006 
1 		 11 		  0.00000023 
1 		 10 		  0.00000089 
1 		 9 		  0.00000510 
1 		 8 		  0.00001114 
1 		 7 		  0.00000005 
1 		 6 		  0.00000003 
1 		 5 		  0.00029349 
1 		 4 		  0.00013310 
1 		 3 		  0.99959555 
1 		 2 		  0.02524176 
1 		 1 		  0.98961946 
2 		 15 		  0.08350357 
2 		 14 		  0.02561400 
2 		 13 		  0.03510125 
2 		 12 		  0.05364857 
2 		 11 		  0.05546241 
2 		 10 		  0.09005676 
2 		 9 		  0.07949275 
2 		 8 		  0.07615148 
2 		 7 		  0.04680031 
2 		 6 		  0.04992944 
2 		 5 		  0.88633572 
2 		 4 		  0.68187072 
2 		 3 		  0.00030960 
2 		 2 		  0.96403618 
2 		 1 		  0.01035625 
3 		 15 		  0.60607303 
3 		 14 		  0.15694132 
3 		 13 		  0.22948427 
3 		 12 		  0.32421393 
3 		 11 		  0.33346925 
3 		 10 		  0.54726125 
3 		 9 		  0.45477771 
3 		 8 		  0.41992015 
3 		 7 		  0.28762818 
3 		 6 		  0.30410610 
3 		 5 		  0.11313693 
3 		 4 		  0.29818223 
3 		 3 		  0.00009383 
3 		 2 		  0.01060282 
3 		 1 		  0.00002411 
4 		 15 		  0.30994805 
4 		 14 		  0.22855485 
4 		 13 		  0.44893275 
4 		 12 		  0.48449239 
4 		 11 		  0.48974472 
4 		 10 		  0.34298184 
4 		 9 		  0.40004988 
4 		 8 		  0.41582097 
4 		 7 		  0.52421357 
4 		 6 		  0.53952065 
4 		 5 		  0.00021603 
4 		 4 		  0.01903962 
4 		 3 		  0.00000098 
4 		 2 		  0.00011346 
4 		 1 		  0.00000018 
5 		 15 		  0.00004008 
5 		 14 		  0.34760246 
5 		 13 		  0.28529992 
5 		 12 		  0.13526290 
5 		 11 		  0.11847971 
5 		 10 		  0.01885988 
5 		 9 		  0.06386576 
5 		 8 		  0.08588298 
5 		 7 		  0.13819886 
5 		 6 		  0.10167524 
5 		 5 		  0.00001583 
5 		 4 		  0.00070871 
5 		 3 		  0.00000004 
5 		 2 		  0.00000518 
5 		 1 		  0.00000001 
6 		 15 		  0.00034892 
6 		 14 		  0.23398675 
6 		 13 		  0.00115367 
6 		 12 		  0.00215665 
6 		 11 		  0.00255517 
6 		 10 		  0.00076245 
6 		 9 		  0.00169335 
6 		 8 		  0.00208504 
6 		 7 		  0.00286077 
6 		 6 		  0.00427394 
6 		 5 		  0.00000166 
6 		 4 		  0.00005617 
6 		 3 		  0.00000000 
6 		 2 		  0.00000050 
6 		 1 		  0.00000000 
7 		 15 		  0.00002957 
7 		 14 		  0.00659700 
7 		 13 		  0.00002226 
7 		 12 		  0.00019175 
7 		 11 		  0.00024293 
7 		 10 		  0.00006631 
7 		 9 		  0.00010466 
7 		 8 		  0.00011771 
7 		 7 		  0.00025397 
7 		 6 		  0.00041509 
7 		 5 		  0.00000026 
7 		 4 		  0.00000746 
7 		 3 		  0.00000000 
7 		 2 		  0.00000008 
7 		 1 		  0.00000000 
8 		 15 		  0.00000538 
8 		 14 		  0.00060731 
8 		 13 		  0.00000005 
8 		 12 		  0.00002689 
8 		 11 		  0.00003592 
8 		 10 		  0.00000871 
8 		 9 		  0.00000958 
8 		 8 		  0.00000955 
8 		 7 		  0.00003541 
8 		 6 		  0.00006255 
8 		 5 		  0.00000006 
8 		 4 		  0.00000146 
8 		 3 		  0.00000000 
8 		 2 		  0.00000002 
8 		 1 		  0.00000000 
9 		 15 		  0.00000127 
9 		 14 		  0.00008039 
9 		 13 		  0.00000020 
9 		 12 		  0.00000516 
9 		 11 		  0.00000718 
9 		 10 		  0.00000151 
9 		 9 		  0.00000108 
9 		 8 		  0.00000089 
9 		 7 		  0.00000671 
9 		 6 		  0.00001258 
9 		 5 		  0.00000002 
9 		 4 		  0.00000037 
9 		 3 		  0.00000000 
9 		 2 		  0.00000000 
9 		 1 		  0.00000000 
10 		 15 		  0.00000036 
10 		 14 		  0.00001294 
10 		 13 		  0.00000021 
10 		 12 		  0.00000122 
10 		 11 		  0.00000175 
10 		 10 		  0.00000031 
